username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2018-01-03 08:49;183092;486368;"North Korean Leader Kim Jong Un just stated that the “Nuclear Button is on his desk at all times.” Will someone from his depleted and food starved regime please inform him that I too have a Nuclear Button, but it is a much bigger & more powerful one than his, and my Button works!";;;;"948355557022420992";https://twitter.com/realDonaldTrump/status/948355557022420992
realDonaldTrump;2018-01-03 06:37;18929;90880;"...peace treaty with Israel. We have taken Jerusalem, the toughest part of the negotiation, off the table, but Israel, for that, would have had to pay more. But with the Palestinians no longer willing to talk peace, why should we make any of these massive future payments to them?";;;;"948322497602220032";https://twitter.com/realDonaldTrump/status/948322497602220032
realDonaldTrump;2018-01-03 06:37;27742;114540;"It's not only Pakistan that we pay billions of dollars to for nothing, but also many other countries, and others. As an example, we pay the Palestinians HUNDRED OF MILLIONS OF DOLLARS a year and get no appreciation or respect. They don’t even want to negotiate a long overdue...";;;;"948322496591384576";https://twitter.com/realDonaldTrump/status/948322496591384576
realDonaldTrump;2018-01-03 06:23;11782;61327;"Congratulations to Senator Orrin Hatch on an absolutely incredible career. He has been a tremendous supporter, and I will never forget the (beyond kind) statements he has made about me as President. He is my friend and he will be greatly missed in the U.S. Senate!pic.twitter.com/0VjzLEeHTl";;;;"948318907848413184";https://twitter.com/realDonaldTrump/status/948318907848413184
realDonaldTrump;2018-01-03 02:11;15509;68239;"We will not rest until all of America’s GREAT VETERANS can receive the care they so richly deserve. Tremendous progress has been made in a short period of time. Keep up the great work @ SecShulkin @ DeptVetAffairs! https://instagram.com/p/BddOPJfAngh/ pic.twitter.com/OtuzIgxMn6";;@ @;;"948255367393349634";https://twitter.com/realDonaldTrump/status/948255367393349634
realDonaldTrump;2018-01-02 23:16;17593;84690;"Democrats are doing nothing for DACA - just interested in politics. DACA activists and Hispanics will go hard against Dems, will start “falling in love” with Republicans and their President! We are about RESULTS.";;;;"948211438472089600";https://twitter.com/realDonaldTrump/status/948211438472089600
realDonaldTrump;2018-01-02 22:53;15658;74907;"....impartial journalists of a much higher standard, lose all of your phony and non-existent “sources,” and treat the President of the United States FAIRLY, so that the next time I (and the people) win, you won’t have to write an apology to your readers for a job poorly done! GL";;;;"948205689683562496";https://twitter.com/realDonaldTrump/status/948205689683562496
realDonaldTrump;2018-01-02 22:39;17057;76632;"The Failing New York Times has a new publisher, A.G. Sulzberger. Congratulations! Here is a last chance for the Times to fulfill the vision of its Founder, Adolph Ochs, “to give the news impartially, without fear or FAVOR, regardless of party, sect, or interests involved.” Get...";;;;"948202173049049088";https://twitter.com/realDonaldTrump/status/948202173049049088
realDonaldTrump;2018-01-02 22:13;15529;85946;"Since taking office I have been very strict on Commercial Aviation. Good news - it was just reported that there were Zero deaths in 2017, the best and safest year on record!";;;;"948195478428102657";https://twitter.com/realDonaldTrump/status/948195478428102657
realDonaldTrump;2018-01-02 22:08;16481;75309;"Sanctions and “other” pressures are beginning to have a big impact on North Korea. Soldiers are dangerously fleeing to South Korea. Rocket man now wants to talk to South Korea for first time. Perhaps that is good news, perhaps not - we will see!";;;;"948194400114487296";https://twitter.com/realDonaldTrump/status/948194400114487296
